"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
Biobase (>= 1.17.0), AnnotationDbi (>= 1.33.14)" "DBI, RSQLite, XML, S4Vectors, RCurl" NA "biomaRt, httr, GenomeInfoDb (>= 1.17.1), Biostrings, affy,
hgu95av2.db, human.db0, org.Hs.eg.db, Homo.sapiens, GO.db,
markdown, BiocStyle, knitr, BiocManager, BiocFileCache" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"AnnotationHub" "AnnotationHub" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.0.0" NA "BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)" "utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr" NA "IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown" "AnnotationHubData" "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"apcluster" "apcluster" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.8" NA "R (>= 3.0.0)" "Rcpp (>= 0.11.1), methods, Matrix, stats, graphics, grDevices" "Rcpp" "Biostrings, kebabs (>= 1.5.4), knitr" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"ape" "ape" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.5" NA "R (>= 3.2.0)" "nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)" "Rcpp" "gee, expm, igraph, phangorn" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"apeglm" "apeglm" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.14.0" NA NA "emdbook, SummarizedExperiment, GenomicRanges, methods, stats,
utils, Rcpp" "Rcpp, RcppEigen, RcppNumerical" "DESeq2, airway, knitr, rmarkdown, testthat" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"aplot" "aplot" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.0.6" NA NA "ggplot2, patchwork, magrittr, methods" NA "rvcheck, ggtree" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"argparse" "argparse" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.3" NA NA "R6, findpython, jsonlite" NA "knitr (>= 1.15.19), rmarkdown, testthat" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"arm" "arm" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.11-2" NA "R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)" "abind, coda, graphics, grDevices, Hmisc, methods, nlme, utils" NA NA NA "GPL (> 2)" NA NA NA NA "no" "4.1.0"
"aroma.light" "aroma.light" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.22.0" NA "R (>= 2.15.2)" "stats, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.9.0), matrixStats (>= 0.55.0)" NA "princurve (>= 2.1.4)" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"ash" "ash" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-15" NA NA NA NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"ashr" "ashr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.2-47" NA "R (>= 3.1.0)" "Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma" "Rcpp" "testthat, knitr, rmarkdown, ggplot2, REBayes" NA "GPL (>= 3)" NA NA NA NA "yes" "4.1.0"
"askpass" "askpass" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1" NA NA "sys (>= 2.1)" NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"assertthat" "assertthat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2.1" NA NA "tools" NA "testthat, covr" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"AUCell" "AUCell" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.14.0" NA NA "data.table, graphics, grDevices, GSEABase, methods, mixtools,
R.utils, shiny, stats, SummarizedExperiment, BiocGenerics,
S4Vectors, utils" NA "Biobase, BiocStyle, doSNOW, dynamicTreeCut, DT, GEOquery,
knitr, NMF, plyr, R2HTML, rmarkdown, reshape2, plotly, rbokeh,
Rtsne, testthat, zoo" "doMC, doRNG, doParallel, foreach" "GPL-3" NA NA NA NA "no" "4.1.0"
"audio" "audio" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1-7" NA "R (>= 2.0.0)" NA NA NA NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"available" "available" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.4" NA "R (>= 3.3.0)" "cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno" NA "usethis, BiocInstaller, BiocManager, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"babelgene" "babelgene" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "21.4" NA "R (>= 3.3)" "dplyr, methods, rlang" NA "covr, knitr, rmarkdown, testthat (>= 3.0.0)" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"backports" "backports" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.1" NA "R (>= 3.0.0)" NA NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"Barnard" "Barnard" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8" NA NA NA NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"base64" "base64" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0" NA NA "openssl" NA NA NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"base64enc" "base64enc" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1-3" NA "R (>= 2.9.0)" NA NA NA "png" "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"base64url" "base64url" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4" NA NA "backports (>= 1.1.0)" NA "base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"BASiCS" "BASiCS" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.4.0" NA "R (>= 4.0), SingleCellExperiment" "Biobase, BiocGenerics, coda, cowplot, ggExtra, ggplot2,
graphics, grDevices, MASS, methods, Rcpp (>= 0.11.3),
S4Vectors, scran, scuttle, stats, stats4, SummarizedExperiment,
viridis, utils, Matrix, matrixStats, assertthat, reshape2,
BiocParallel, hexbin" "Rcpp, RcppArmadillo" "BiocStyle, knitr, rmarkdown, testthat, magick" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"basilisk" "basilisk" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.0" NA NA "utils, methods, parallel, reticulate, dir.expiry,
basilisk.utils" NA "knitr, rmarkdown, BiocStyle, testthat, callr" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"basilisk.utils" "basilisk.utils" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.0" NA NA "utils, methods, tools, dir.expiry" NA "knitr, rmarkdown, BiocStyle, testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"batchelor" "batchelor" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8.0" NA "SingleCellExperiment" "SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
DelayedArray, DelayedMatrixStats, BiocParallel, scuttle,
ResidualMatrix, ScaledMatrix, beachmat" "Rcpp" "testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"batchtools" "batchtools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9.15" NA "R (>= 3.0.0)" "backports (>= 1.1.2), base64url (>= 1.1), brew, checkmate (>=
1.8.5), data.table (>= 1.11.2), digest (>= 0.6.9), fs (>=
1.2.0), parallel, progress (>= 1.1.1), R6, rappdirs, stats,
stringi, utils, withr (>= 2.0.0)" NA "debugme, doParallel, doMPI, e1071, foreach, future,
future.batchtools, knitr, parallelMap, ranger, rmarkdown,
rpart, snow, testthat, tibble" NA "LGPL-3" NA NA NA NA "yes" "4.1.0"
"bayefdr" "bayefdr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.0" NA NA "ggplot2, reshape2, assertthat, utils, stats" NA "testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"bayesplot" "bayesplot" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8.0" NA "R (>= 3.1.0)" "dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils" NA "ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr" NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"bbmle" "bbmle" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.23.1" NA "R (>= 3.0.0), stats4" "stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm" NA "emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat" NA "GPL" NA NA NA NA "no" "4.1.0"
"bdsmatrix" "bdsmatrix" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-4" NA "methods, R (>= 2.0.0)" NA NA NA NA "LGPL-2" NA NA NA NA "yes" "4.1.0"
"beachmat" "beachmat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.8.0" NA NA "methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp" "Rcpp" "testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"beanplot" "beanplot" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2" NA NA NA NA "vioplot, lattice" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"beepr" "beepr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3" NA NA "stringr (>= 1.0.0), audio" NA NA NA "GPL-3" NA NA NA NA "no" "4.1.0"
"beeswarm" "beeswarm" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.1" NA NA "stats, graphics, grDevices, utils" NA NA NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"benchmarkme" "benchmarkme" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.7" NA "R (>= 3.5.0)" "benchmarkmeData (>= 1.0.4), compiler, doParallel, dplyr,
foreach, graphics, httr, Matrix, methods, parallel, tibble,
utils" NA "covr, DT, ggplot2, knitr, RcppZiggurat, rmarkdown, testthat" NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"benchmarkmeData" "benchmarkmeData" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.4" NA "R (>= 3.5.0)" "dplyr, graphics, tibble, utils" NA "benchmarkme, covr, DT, testthat" NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"BH" "BH" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.75.0-0" NA NA NA NA NA NA "BSL-1.0" NA NA NA NA "no" "4.1.0"
"BiasedUrn" "BiasedUrn" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.07" NA NA NA NA NA NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"bibtex" "bibtex" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.2.3" NA "R (>= 3.0.2)" "stringr, utils" NA "testthat" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"bindr" "bindr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.1" NA NA NA NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"bindrcpp" "bindrcpp" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2.2" NA NA "bindr (>= 0.1.1), Rcpp (>= 0.12.16)" "plogr, Rcpp" "testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"binom" "binom" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-1" NA NA NA NA "lattice, polynom, tcltk, ggplot2" NA "GPL" NA NA NA NA "yes" "4.1.0"
"Biobase" "Biobase" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.52.0" NA "R (>= 2.10), BiocGenerics (>= 0.27.1), utils" "methods" NA "tools, tkWidgets, ALL, RUnit, golubEsets" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"BiocCheck" "BiocCheck" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.28.0" NA "R (>= 3.5.0)" "biocViews (>= 1.33.7), BiocManager, stringdist, graph, httr,
tools, optparse, codetools, methods, utils, knitr" NA "RUnit, BiocGenerics, Biobase, RJSONIO, rmarkdown, devtools
(>= 1.4.1), usethis, BiocStyle" "codetoolsBioC" "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocFileCache" "BiocFileCache" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.0" NA "R (>= 3.4.0), dbplyr (>= 1.0.0)" "methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr" NA "testthat, knitr, BiocStyle, rmarkdown, rtracklayer" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocGenerics" "BiocGenerics" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.38.0" NA "R (>= 4.0.0), methods, utils, graphics, stats, parallel" "methods, utils, graphics, stats, parallel" NA "Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocIO" "BiocIO" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "R (>= 4.0)" "BiocGenerics, S4Vectors, methods, tools" NA "testthat, knitr, rmarkdown, BiocStyle" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocManager" "BiocManager" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.30.15" NA NA "utils" NA "BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocNeighbors" "BiocNeighbors" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.10.0" NA NA "Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix" "Rcpp, RcppHNSW" "testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"BiocParallel" "BiocParallel" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.26.0" NA "methods" "stats, utils, futile.logger, parallel, snow" "BH" "BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"BiocPkgTools" "BiocPkgTools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.10.0" NA "htmlwidgets" "BiocFileCache, BiocManager, biocViews, tibble, magrittr,
methods, rlang, tidyselect, stringr, rvest, rex, dplyr, xml2,
readr, httr, htmltools, DT, tools, utils, igraph, tidyr,
jsonlite, gh, RBGL, graph" NA "BiocStyle, knitr, rmarkdown, testthat, tm, SnowballC,
visNetwork, clipr, blastula, kableExtra, DiagrammeR,
SummarizedExperiment" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"BiocSingular" "BiocSingular" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8.0" NA NA "BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat" "Rcpp, beachmat" "testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"BiocStyle" "BiocStyle" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.20.0" NA NA "bookdown, knitr (>= 1.30), rmarkdown (>= 1.2), stats, utils,
yaml, BiocManager" NA "BiocGenerics, RUnit, htmltools" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocVersion" "BiocVersion" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.13.1" NA "R (>= 4.1.0)" NA NA NA NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"biocViews" "biocViews" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.60.0" NA "R (>= 3.6.0)" "Biobase, graph (>= 1.9.26), methods, RBGL (>= 1.13.5), tools,
utils, XML, RCurl, RUnit, BiocManager" NA "BiocGenerics, knitr, commonmark" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"BiocWorkflowTools" "BiocWorkflowTools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.18.0" NA "R (>= 3.4)" "BiocStyle, bookdown, git2r, httr, knitr, rmarkdown,
rstudioapi, stringr, tools, utils, usethis" NA NA NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"biomaRt" "biomaRt" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.48.0" NA "methods" "utils, XML, AnnotationDbi, progress, stringr, httr, digest,
BiocFileCache, rappdirs" NA "BiocStyle, knitr, rmarkdown, testthat, mockery" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"Biostrings" "Biostrings" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.60.0" NA "R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2),
GenomeInfoDb" "methods, utils, grDevices, graphics, stats, crayon," "S4Vectors, IRanges, XVector" "BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit" "Rmpi" "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"bit" "bit" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "4.0.4" NA "R (>= 2.9.2)" NA NA "testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"bit64" "bit64" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "4.0.5" NA "R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats" NA NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"bitops" "bitops" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-7" NA NA NA NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"blob" "blob" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.1" NA NA "methods, rlang, vctrs (>= 0.2.1)" NA "covr, crayon, pillar (>= 1.2.1), testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"bluster" "bluster" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA NA "stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors" "Rcpp" "knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"BNPdensity" "BNPdensity" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2021.5.4" NA "R(>= 3.5.0)" "ggplot2, gridExtra, survival, coda, dplyr, tidyr, viridis" NA "GreedyEPL, Rmpfr, gmp, knitr, rmarkdown, testthat, BNPmix" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"bookdown" "bookdown" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.22" NA NA "htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.6),
xfun (>= 0.22), tinytex (>= 0.12), yaml (>= 2.1.19)" NA "bslib (>= 0.2.4), downlit (>= 0.2.1), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"brew" "brew" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-6" NA NA NA NA NA NA "GPL-2" NA NA NA NA NA "4.1.0"
"brio" "brio" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.2" NA NA NA NA "testthat (>= 2.1.0), covr" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"broom" "broom" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.7.6" NA "R (>= 3.1)" "backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)" NA "AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.8.1), gam (>=
1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, Rchoice, rgeos, rmarkdown, robust, robustbase,
rsample, sandwich, sp, spdep, spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"BSgenome" "BSgenome" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.60.0" NA "R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), rtracklayer
(>= 1.39.7)" "methods, utils, stats, matrixStats, BiocGenerics, S4Vectors,
IRanges, XVector (>= 0.29.3), GenomeInfoDb, GenomicRanges,
Biostrings, Rsamtools, rtracklayer" NA "BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
